Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
COLLEGE HOSPITAL COSTA MESA,50543,CA,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BOURBON COMMUNITY HOSPITAL,180046,KY,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SOUTHEAST MICHIGAN SURGICAL HOSPITAL,230264,MI,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,320060,NM,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SANTA FE PHS INDIAN HOSPITAL,320057,NM,READM-30-HF-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PORTERVILLE DEVELOPMENTAL CENTER,50546,CA,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PHS INDIAN HOSPITAL AT PINE RIDGE,430081,SD,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
UNITY MEDICAL AND SURGICAL HOSPITAL,150177,IN,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
FAIRVIEW DEVELOPMENTAL CENTER,50548,CA,READM-30-HF-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
USPHS LAWTON INDIAN HOSPITAL,370170,OK,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BROADLAWNS MEDICAL CENTER,160101,IA,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ENCINO HOSPITAL MEDICAL CENTER,50158,CA,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MIRACLE MILE MEDICAL CENTER,50751,CA,READM-30-PN-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
